Column1,Firmware_CRC32,Battery_Volt_Test,Running_Curr_Test,Modem_FW_Test,Modem_IMEI_Test,SIM_ICCID_Test,Crystal_Test_ppm,Crystal_Test_kHz,Standby_Curr_Test,Sleep_Curr_Test,fail,Final_Result,DATE_TIME,TESTER_ID,TEAM_SN,Operator,Test_Start_Time,Test_Finish_Time,Test_Total_Time,Check_Accelerometer,NFC_ID_Test,Measure_Pressure_Sensor,Check_Version_Hardware,3V7_LTE_Volt_Test,Check_SW1_Test,Check_SW2_Test,Processor_Functional,Measure_Light_Sensor_Dark,Measure_Light_Sensor_Light,Measure_Temp_Sensor,Measure_Humidity_Sensor,Check_Memory_EEPROM,Led1_Red_On,Led1_Green_On,Led1_Blue_On,Led2_Red_On,Led2_Green_On,Led2_Blue_On,Check_Version_Application,
JEF9B00764,Denali_v0100000002.mot 2F1607E1,4.866,52.874,'BG96MAR02A07M1G,'860640052462472,'89460800231121175833,4.20,32.7681375,6.939,24.790,-,PASS,2021.05.12 21:47:09,SST Denali#1(TEST HEAD 2),'5210325005913,71064,2021.05.12 21:39:19,2021.05.12 21:47:09,'00:07:50,'OK,E0022500E3FC336A,4116173,'0000000007,3.688,OK,OK,OK,5,124,25.23,71.33,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEF9B009D4,Denali_v0100000002.mot 2F1607E1,4.852,64.268,'BG96MAR02A07M1G,'860640052456367,'89460800231121182821,18.09,32.7685927,6.678,26.136,-,PASS,2021.05.12 21:13:47,SST Denali#1(TEST HEAD 4),'5210325005895,71064,2021.05.12 21:05:53,2021.05.12 21:13:47,'00:07:54,'OK,E0022500E4125FC2,4113257,'0000000007,3.668,OK,OK,OK,4,178,25.53,67.04,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEF9B00694,Denali_v0100000002.mot 2F1607E1,4.851,53.740,'BG96MAR02A07M1G,'860640052474592,'89460800231121181633,36.40,32.7691928,7.054,29.086,-,PASS,2021.05.12 15:49:25,SST Denali#1(TEST HEAD 3),'5210325005897,36254,2021.05.12 15:42:13,2021.05.12 15:49:25,'00:07:12,'OK,E0022500E3FBDBC8,4105246,'0000000007,3.694,OK,OK,OK,4,111,25.79,63.33,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEF9B009H4,Denali_v0100000002.mot 2F1607E1,4.851,53.193,'BG96MAR02A07M1G,'860640052475607,'89460800231121184793,24.50,32.7688028,6.916,27.947,-,PASS,2021.05.13 00:17:50,SST Denali#1(TEST HEAD 1),'5210325005908,71064,2021.05.13 00:11:03,2021.05.13 00:17:50,'00:06:47,'OK,E0022500E3F77F09,4117691,'0000000007,3.673,OK,OK,OK,2,141,25.01,72.18,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B00244,Denali_v0100000002.mot 2F1607E1,4.867,62.515,'BG96MAR02A07M1G,'860640052380294,'89460800231121177649,19.53,32.7686401,6.832,29.241,-,PASS,2021.05.12 14:28:55,SST Denali#1(TEST HEAD 2),'5210325005940,36254,2021.05.12 14:21:05,2021.05.12 14:28:55,'00:07:50,'OK,E0022500E41F1E4B,4109428,'0000000007,3.673,OK,OK,OK,5,125,25.36,66.23,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEF9B00A54,Denali_v0100000002.mot 2F1607E1,4.843,52.894,'BG96MAR02A07M1G,'860640052456417,'89460800231121179231,18.59,32.7686093,6.782,29.810,-,PASS,2021.05.12 14:37:16,SST Denali#1(TEST HEAD 1),'5210325005982,36254,2021.05.12 14:29:04,2021.05.12 14:37:16,'00:08:12,'OK,E0022500E415356C,4108776,'0000000007,3.666,OK,OK,OK,3,138,25.12,66.46,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEF9B001P4,Denali_v0100000002.mot 2F1607E1,4.852,52.112,'BG96MAR02A07M1G,'860640052417591,'89460800231121183712,31.14,32.7690204,6.874,27.222,-,PASS,2021.05.12 14:59:02,SST Denali#1(TEST HEAD 4),'5210325006722,36254,2021.05.12 14:51:30,2021.05.12 14:59:02,'00:07:32,'OK,E0022500E3F78C60,4106691,'0000000007,3.672,OK,OK,OK,4,181,25.93,62.95,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEE9B009A4,Denali_v0100000002.mot 2F1607E1,4.847,53.026,'BG96MAR02A07M1G,'860640052291392,'89460800231121179868,34.33,32.7691250,6.842,27.016,-,PASS,2021.05.12 18:34:04,SST Denali#1(TEST HEAD 1),'5210325006749,36254,2021.05.12 18:29:07,2021.05.12 18:34:04,'00:04:57,'OK,E0022500E4095F31,4106285,'0000000007,3.680,OK,OK,OK,3,138,24.97,66.25,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEE9B00BH4,Denali_v0100000002.mot 2F1607E1,4.867,51.353,'BG96MAR02A07M1G,'860640052473487,'89460800231121183266,12.47,32.7684085,6.684,30.379,-,PASS,2021.05.12 12:40:22,SST Denali#1(TEST HEAD 2),'5210325006774,36254,2021.05.12 12:32:51,2021.05.12 12:40:22,'00:07:31,'OK,E0022500E4057382,4118515,'0000000007,3.664,OK,OK,OK,5,121,24.57,68.90,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEF9B00074,Denali_v0100000002.mot 2F1607E1,4.851,52.136,'BG96MAR02A07M1G,'860640052440528,'89460800231121183233,19.65,32.7686438,6.837,31.156,-,PASS,2021.05.12 18:29:51,SST Denali#1(TEST HEAD 3),'5210325006776,36254,2021.05.12 18:23:10,2021.05.12 18:29:51,'00:06:41,'OK,E0022500E4054F3A,4106321,'0000000007,3.688,OK,OK,OK,4,117,24.88,65.64,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEF9B008A4,Denali_v0100000002.mot 2F1607E1,4.864,51.992,'BG96MAR02A07M1G,'860640052465608,'89460800231121180023,20.49,32.7686715,6.866,29.965,-,PASS,2021.05.12 16:09:31,SST Denali#1(TEST HEAD 2),'5210325005869,36254,2021.05.12 16:02:39,2021.05.12 16:09:31,'00:06:52,'OK,E0022500E410E085,4105805,'0000000007,3.684,OK,OK,OK,5,121,25.95,64.44,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B001P4,Denali_v0100000002.mot 2F1607E1,4.851,53.043,'BG96MAR02A07M1G,'860640052466424,'89460800231121180171,38.99,32.7692777,6.997,28.361,-,PASS,2021.05.12 14:31:21,SST Denali#1(TEST HEAD 3),'5210325005873,36254,2021.05.12 14:24:04,2021.05.12 14:31:21,'00:07:17,'OK,E0022500E4095772,4107868,'0000000007,3.673,OK,OK,OK,4,118,25.36,65.64,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEF9B005B4,Denali_v0100000002.mot 2F1607E1,4.851,53.768,'BG96MAR02A07M1G,'860640052460724,'89460800231121179207,18.16,32.7685952,7.029,24.635,-,PASS,2021.05.12 13:00:30,SST Denali#1(TEST HEAD 4),'5210325005876,36254,2021.05.12 12:52:05,2021.05.12 13:00:30,'00:08:25,'OK,E0022500E4126A43,4116987,'0000000007,3.656,OK,OK,OK,5,176,24.89,66.87,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B004K4,Denali_v0100000002.mot 2F1607E1,4.852,51.986,'BG96MAR02A07M1G,'860640052460757,'89460800231121178795,23.78,32.7687792,6.822,28.775,-,PASS,2021.05.13 08:20:32,SST Denali#1(TEST HEAD 4),'5210325005880,81087,2021.05.13 08:11:59,2021.05.13 08:20:32,'00:08:33,'OK,E0022500E412687E,4121781,'0000000007,3.687,OK,OK,OK,5,179,24.01,78.11,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B001S4,Denali_v0100000002.mot 2F1607E1,4.850,53.939,'BG96MAR02A07M1G,'860640052456300,'89460800231121184827,24.36,32.7687983,5.384,23.289,-,PASS,2021.05.12 19:10:30,SST Denali#1(TEST HEAD 3),'5210325005887,36254,2021.05.12 19:05:05,2021.05.12 19:10:30,'00:05:25,'OK,E0022500E415408F,4106110,'0000000007,3.658,OK,OK,OK,4,114,25.24,70.51,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEE9B00BZ4,Denali_v0100000002.mot 2F1607E1,4.866,52.696,'BG96MAR02A07M1G,'860640052367069,'89460800231121185261,25.60,32.7688387,6.829,30.897,-,PASS,2021.05.12 17:25:22,SST Denali#1(TEST HEAD 2),'5210325006673,36254,2021.05.12 17:18:44,2021.05.12 17:25:22,'00:06:38,'OK,E0022500E41FB787,4107072,'0000000007,3.663,OK,OK,OK,4,116,25.27,66.65,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEE9B00AE4,Denali_v0100000002.mot 2F1607E1,4.851,51.670,'BG96MAR02A07M1G,'860640052366053,'89460800231121177037,19.37,32.7686346,6.921,23.703,-,PASS,2021.05.12 13:16:43,SST Denali#1(TEST HEAD 4),'5210325006658,36254,2021.05.12 13:08:29,2021.05.12 13:16:43,'00:08:14,'OK,E0022500E41F4DD7,4115158,'0000000007,3.667,OK,OK,OK,4,164,25.07,69.63,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEF9B00314,Denali_v0100000002.mot 2F1607E1,4.852,53.291,'BG96MAR02A07M1G,'860640052465566,'89460800231121179736,23.42,32.7687673,6.913,31.259,-,PASS,2021.05.12 15:58:12,SST Denali#1(TEST HEAD 4),'5210325006563,36254,2021.05.12 15:50:48,2021.05.12 15:58:12,'00:07:24,'OK,E0022500E410E403,4103624,'0000000007,3.688,OK,OK,OK,3,170,26.21,61.69,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEF9B00194,Denali_v0100000002.mot 2F1607E1,4.851,52.976,'BG96MAR02A07M1G,'860640052465657,'89460800231121177771,25.02,32.7688200,6.723,27.999,-,PASS,2021.05.12 18:00:28,SST Denali#1(TEST HEAD 1),'5210325006565,36254,2021.05.12 17:51:48,2021.05.12 18:00:28,'00:08:40,'OK,E0022500E415EA04,4105690,'0000000007,3.654,OK,OK,OK,3,141,24.76,67.38,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEF9B00174,Denali_v0100000002.mot 2F1607E1,4.851,53.697,'BG96MAR02A07M1G,'860640052366590,'89460800231121176534,15.26,32.7684999,7.164,29.603,-,PASS,2021.05.12 18:22:49,SST Denali#1(TEST HEAD 3),'5210325006569,36254,2021.05.12 18:14:44,2021.05.12 18:22:49,'00:08:05,'OK,E0022500E41D01F9,4106419,'0000000007,3.683,OK,OK,OK,3,109,25.12,66.46,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEE9B00A94,Denali_v0100000002.mot 2F1607E1,4.851,52.708,'BG96MAR02A07M1G,'860640052447747,'89460800231121176526,25.74,32.7688434,6.208,31.208,-,PASS,2021.05.12 13:23:20,SST Denali#1(TEST HEAD 3),'5210325006579,36254,2021.05.12 13:16:33,2021.05.12 13:23:20,'00:06:47,'OK,E0022500E405EEB5,4115238,'0000000007,3.685,OK,OK,OK,4,112,24.78,68.92,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEF9B00044,Denali_v0100000002.mot 2F1607E1,4.844,52.774,'BG96MAR02A07M1G,'860640052474923,'89460800231121183647,27.71,32.7689081,6.958,26.498,-,PASS,2021.05.12 12:38:23,SST Denali#1(TEST HEAD 1),'5210325006437,36254,2021.05.12 12:32:34,2021.05.12 12:38:23,'00:05:49,'OK,E0022500E41F93C5,4118077,'0000000007,3.675,OK,OK,OK,4,133,24.36,69.77,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEE9B00614,Denali_v0100000002.mot 2F1607E1,4.851,53.003,'BG96MAR02A07M1G,'860640052362151,'89460800231121181732,24.24,32.7687944,6.875,23.134,-,PASS,2021.05.12 22:31:17,SST Denali#1(TEST HEAD 3),'5210325006447,71064,2021.05.12 22:24:05,2021.05.12 22:31:17,'00:07:12,'OK,E0022500E4098DE6,4117958,'0000000007,3.681,OK,OK,OK,4,118,25.25,67.19,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEF9B002P4,Denali_v0100000002.mot 2F1607E1,4.851,52.384,'BG96MAR02A07M1G,'860640052456524,'89460800231121181344,17.79,32.7685831,6.767,30.690,-,PASS,2021.05.12 15:33:39,SST Denali#1(TEST HEAD 3),'5210325006466,36254,2021.05.12 15:26:05,2021.05.12 15:33:39,'00:07:34,'OK,E0022500E41CC648,4105635,'0000000007,3.682,OK,OK,OK,5,117,25.61,65.01,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEF9B00204,Denali_v0100000002.mot 2F1607E1,4.851,53.007,'BG96MAR02A07M1G,'860640052456540,'89460800231121177144,24.22,32.7687936,6.804,28.258,-,PASS,2021.05.12 14:38:42,SST Denali#1(TEST HEAD 3),'5210325006478,36254,2021.05.12 14:31:34,2021.05.12 14:38:42,'00:07:08,'OK,E0022500E4152FAB,4108401,'0000000007,3.656,OK,OK,OK,4,116,25.28,65.69,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEF9B001A4,Denali_v0100000002.mot 2F1607E1,4.851,51.186,'BG96MAR02A07M1G,'860640052460187,'89460800231121177110,27.91,32.7689144,6.757,32.191,-,PASS,2021.05.12 10:33:30,SST Denali#1(TEST HEAD 3),'5210325006479,36254,2021.05.12 10:26:27,2021.05.12 10:33:30,'00:07:03,'OK,E0022500E3FD6896,4125956,'0000000007,3.689,OK,OK,OK,4,110,24.74,68.40,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEE9B00AQ4,Denali_v0100000002.mot 2F1607E1,4.851,52.453,'BG96MAR02A07M1G,'860640052392364,'89460800231121179546,11.88,32.7683892,6.856,33.433,-,PASS,2021.05.12 13:31:03,SST Denali#1(TEST HEAD 3),'5210325006503,36254,2021.05.12 13:23:46,2021.05.12 13:31:03,'00:07:17,'OK,E0022500E3FDA1FC,4114669,'0000000007,3.683,OK,OK,OK,5,120,24.93,67.65,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEF9B000H4,Denali_v0100000002.mot 2F1607E1,4.848,52.648,'BG96MAR02A07M1G,'860640052392844,'89460800231121178902,19.97,32.7686544,6.942,26.808,-,PASS,2021.05.12 15:03:19,SST Denali#1(TEST HEAD 3),'5210325006528,36254,2021.05.12 14:55:17,2021.05.12 15:03:19,'00:08:02,'OK,E0022500E3F77B8F,4106743,'0000000007,3.688,OK,OK,OK,4,114,25.41,64.60,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEF9B007B4,Denali_v0100000002.mot 2F1607E1,4.852,51.760,'BG96MAR02A07M1G,'860640052365212,'89460800231121179090,13.20,32.7684326,6.850,28.879,-,PASS,2021.05.12 19:42:21,SST Denali#1(TEST HEAD 4),'5210325006004,36254,2021.05.12 19:37:24,2021.05.12 19:42:21,'00:04:57,'OK,E0022500E41F7F97,4107862,'0000000007,3.675,OK,OK,OK,4,179,25.53,65.01,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEF9B008X4,Denali_v0100000002.mot 2F1607E1,4.852,52.990,'BG96MAR02A07M1G,'860640052365394,'89460800231121181336,36.28,32.7691889,6.952,26.964,-,PASS,2021.05.12 20:48:42,SST Denali#1(TEST HEAD 1),'5210325005995,71064,2021.05.12 20:41:38,2021.05.12 20:48:42,'00:07:04,'OK,E0022500E41D4BE5,4111994,'0000000007,3.678,OK,OK,OK,3,132,25.08,68.77,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B002Z4,Denali_v0100000002.mot 2F1607E1,4.850,53.158,'BG96MAR02A07M1G,'860640052460096,'89460800231121184512,12.30,32.7684029,6.972,26.705,-,PASS,2021.05.12 23:34:43,SST Denali#1(TEST HEAD 4),'5210325006040,71064,2021.05.12 23:29:25,2021.05.12 23:34:43,'00:05:18,'OK,E0022500E3FBBE92,4118022,'0000000007,3.684,OK,OK,OK,2,177,25.01,73.19,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEF9B00974,Denali_v0100000002.mot 2F1607E1,4.850,52.227,'BG96MAR02A07M1G,'860640052460567,'89460800231121184462,14.65,32.7684801,6.878,24.686,-,PASS,2021.05.12 23:41:49,SST Denali#1(TEST HEAD 4),'5210325006043,71064,2021.05.12 23:35:31,2021.05.12 23:41:49,'00:06:18,'OK,E0022500E4099466,4117979,'0000000007,3.671,OK,OK,OK,2,180,25.18,72.20,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEF9B009C4,Denali_v0100000002.mot 2F1607E1,4.852,52.578,'BG96MAR02A07M1G,'860640052460336,'89460800231121182557,13.85,32.7684539,6.850,30.224,-,PASS,2021.05.13 00:31:17,SST Denali#1(TEST HEAD 1),'5210325006054,71064,2021.05.13 00:23:16,2021.05.13 00:31:17,'00:08:01,'OK,E0022500E4066F54,4118018,'0000000007,3.671,OK,OK,OK,2,132,25.19,73.44,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEF9B009J4,Denali_v0100000002.mot 2F1607E1,4.852,52.762,'BG96MAR02A07M1G,'860640052365048,'89460800231121185048,16.96,32.7685556,6.908,34.364,-,PASS,2021.05.13 00:18:59,SST Denali#1(TEST HEAD 3),'5210325006056,71064,2021.05.13 00:12:21,2021.05.13 00:18:59,'00:06:38,'OK,E0022500E41F7015,4118372,'0000000007,3.674,OK,OK,OK,2,118,25.17,70.89,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEF9B00AV4,Denali_v0100000002.mot 2F1607E1,4.852,51.725,'BG96MAR02A07M1G,'860640052362342,'89460800231121176294,11.95,32.7683916,6.644,30.328,-,PASS,2021.05.12 21:55:01,SST Denali#1(TEST HEAD 1),'5210325006068,71064,2021.05.12 21:48:04,2021.05.12 21:55:01,'00:06:57,'OK,E0022500E4093228,4116581,'0000000007,3.684,OK,OK,OK,3,135,25.01,70.52,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEF9B00BA4,Denali_v0100000002.mot 2F1607E1,4.852,52.881,'BG96MAR02A07M1G,'860640052440957,'89460800231121177854,26.68,32.7688744,6.691,26.757,-,PASS,2021.05.13 00:39:41,SST Denali#1(TEST HEAD 4),'5210325006078,71064,2021.05.13 00:32:19,2021.05.13 00:39:41,'00:07:22,'OK,E0022500E41FC4DF,4117282,'0000000007,3.670,OK,OK,OK,2,177,25.62,71.57,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEF9B007R4,Denali_v0100000002.mot 2F1607E1,4.851,54.653,'BG96MAR02A07M1G,'860640052441013,'89460800231121175452,30.43,32.7689970,6.896,32.708,-,PASS,2021.05.12 10:06:00,SST Denali#1(TEST HEAD 4),'5210325006093,36254,2021.05.12 09:58:31,2021.05.12 10:06:00,'00:07:29,'OK,E0022500E4237F91,4126213,'0000000007,3.674,OK,OK,OK,5,180,24.90,72.54,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
