Column1,Firmware_CRC32,Battery_Volt_Test,Running_Curr_Test,Modem_FW_Test,Modem_IMEI_Test,SIM_ICCID_Test,Crystal_Test_ppm,Crystal_Test_kHz,Standby_Curr_Test,Sleep_Curr_Test,fail,Final_Result,DATE_TIME,TESTER_ID,Operator,Test_Start_Time,Test_Finish_Time,Test_Total_Time,Check_Version_Hardware,3V7_LTE_Volt_Test,Check_SW1_Test,Check_SW2_Test,Processor_Functional,Measure_Light_Sensor_Dark,Measure_Light_Sensor_Light,Measure_Temp_Sensor,Measure_Humidity_Sensor,Check_Memory_EEPROM,Led1_Red_On,Led1_Green_On,Led1_Blue_On,Led2_Red_On,Led2_Green_On,Led2_Blue_On,Check_Version_Application,
KD69H000Y4,application-v0.0.0.107.srec,5.45625,-,'BG95M3LAR02A03_0,'864593055296783,'89460800235135945107,-,-,7.06353,23.7927,,PASS,2022.04.04 17:18:53,SST Denali Nextgen#1,36027,2022.04.04 17:17:50,2022.04.04 17:18:53,'00:01:03,'2,-,OK,OK,OK,4,400,24.72,54.1,OK,-,-,-,-,-,-,'0001070000,
KD69H001G4,application-v0.0.0.107.srec,5.43559,-,'BG95M3LAR02A03_0,'864593055297286,'89460800235135945123,-,-,6.91361,23.9884,,PASS,2022.04.04 13:58:44,SST Denali Nextgen#1,36027,2022.04.04 13:57:27,2022.04.04 13:58:44,'00:01:17,'2,-,OK,OK,OK,4,292,24.17,55,OK,-,-,-,-,-,-,'0001070000,
KD69H004D4,application-v0.0.0.107.srec,5.45622,-,'BG95M3LAR02A03_0,'864593055297344,'89460800235135943847,-,-,7.14,24.6114,,PASS,2022.04.04 17:56:15,SST Denali Nextgen#1,36027,2022.04.04 17:55:12,2022.04.04 17:56:15,'00:01:03,'2,-,OK,OK,OK,4,400,24.56,54.1,OK,-,-,-,-,-,-,'0001070000,
KD69H000E4,application-v0.0.0.107.srec,5.45641,-,'BG95M3LAR02A03_0,'864593055295546,'89460800235135945057,-,-,6.67629,24.1757,,PASS,2022.04.04 17:58:14,SST Denali Nextgen#1,36027,2022.04.04 17:57:11,2022.04.04 17:58:14,'00:01:03,'2,-,OK,OK,OK,4,400,24.44,54,OK,-,-,-,-,-,-,'0001070000,
KD69H00354,application-v0.0.0.107.srec,5.45645,-,'BG95M3LAR02A03_0,'864593055297021,'89460800235135945024,-,-,6.84339,25.2358,,PASS,2022.04.04 18:41:44,SST Denali Nextgen#1,36027,2022.04.04 18:40:40,2022.04.04 18:41:44,'00:01:04,'2,-,OK,OK,OK,4,400,24.17,54.8,OK,-,-,-,-,-,-,'0001070000,
KD69H002N4,application-v0.0.0.107.srec,5.45645,-,'BG95M3LAR02A03_0,'864593055297898,'89460800235135944142,-,-,6.87983,24.6697,,PASS,2022.04.04 18:31:06,SST Denali Nextgen#1,36027,2022.04.04 18:30:04,2022.04.04 18:31:06,'00:01:02,'2,-,OK,OK,OK,4,400,24.44,54.3,OK,-,-,-,-,-,-,'0001070000,
KD69H002R4,application-v0.0.0.107.srec,5.45639,-,'BG95M3LAR02A03_0,'864593055297815,'89460800235135944183,-,-,7.06202,23.5742,,PASS,2022.04.04 18:29:38,SST Denali Nextgen#1,36027,2022.04.04 18:28:34,2022.04.04 18:29:38,'00:01:04,'2,-,OK,OK,OK,4,400,24.44,54.2,OK,-,-,-,-,-,-,'0001070000,
KD69H002G4,application-v0.0.0.107.srec,5.45632,-,'BG95M3LAR02A03_0,'864593055296528,'89460800235135943821,-,-,7.15958,23.9704,,PASS,2022.04.04 18:21:00,SST Denali Nextgen#1,36027,2022.04.04 18:19:56,2022.04.04 18:21:00,'00:01:04,'2,-,OK,OK,OK,4,400,24.39,54.2,OK,-,-,-,-,-,-,'0001070000,
KD69H00544,application-v0.0.0.107.srec,5.45658,-,'BG95M3LAR02A03_0,'864593055297799,'89460800235135945065,-,-,6.71398,23.4491,,PASS,2022.04.04 18:37:52,SST Denali Nextgen#1,36027,2022.04.04 18:36:49,2022.04.04 18:37:52,'00:01:03,'2,-,OK,OK,OK,4,400,24.28,54.3,OK,-,-,-,-,-,-,'0001070000,
KD69H004F4,application-v0.0.0.107.srec,5.45627,-,'BG95M3LAR02A03_0,'864593055257496,'89460800235135943631,-,-,7.27561,24.4993,,PASS,2022.04.04 18:23:47,SST Denali Nextgen#1,36027,2022.04.04 18:22:43,2022.04.04 18:23:47,'00:01:04,'2,-,OK,OK,OK,4,400,24.39,54.2,OK,-,-,-,-,-,-,'0001070000,
KD69H003W4,application-v0.0.0.107.srec,5.45626,-,'BG95M3LAR02A03_0,'864593055296577,'89460800235135943839,-,-,6.79893,24.8111,,PASS,2022.04.04 17:23:36,SST Denali Nextgen#1,36027,2022.04.04 17:22:34,2022.04.04 17:23:36,'00:01:02,'2,-,OK,OK,OK,4,400,24.72,53.7,OK,-,-,-,-,-,-,'0001070000,
KD69H00424,application-v0.0.0.107.srec,5.45606,-,'BG95M3LAR02A03_0,'864593055296379,'89460800235135943862,-,-,6.97384,25.3563,,PASS,2022.04.04 18:26:40,SST Denali Nextgen#1,36027,2022.04.04 18:25:37,2022.04.04 18:26:40,'00:01:03,'2,-,OK,OK,OK,4,400,24.44,53.9,OK,-,-,-,-,-,-,'0001070000,
KD69H00324,application-v0.0.0.107.srec,5.45605,-,'BG95M3LAR02A03_0,'864593055296403,'89460800235135943813,-,-,7.0588,27.4712,,PASS,2022.04.04 18:17:43,SST Denali Nextgen#1,36027,2022.04.04 18:16:39,2022.04.04 18:17:43,'00:01:04,'2,-,OK,OK,OK,4,400,24.5,54,OK,-,-,-,-,-,-,'0001070000,
KD69H003N4,application-v0.0.0.107.srec,5.45633,-,'BG95M3LAR02A03_0,'864593055296643,'89460800235135943797,-,-,7.03714,23.3292,,PASS,2022.04.04 18:15:56,SST Denali Nextgen#1,36027,2022.04.04 18:14:52,2022.04.04 18:15:56,'00:01:04,'2,-,OK,OK,OK,4,400,24.39,54,OK,-,-,-,-,-,-,'0001070000,
KD69H002M4,application-v0.0.0.107.srec,5.45645,-,'BG95M3LAR02A03_0,'864593055297328,'89460800235135944191,-,-,6.92762,25.5392,,PASS,2022.04.04 18:25:11,SST Denali Nextgen#1,36027,2022.04.04 18:24:07,2022.04.04 18:25:11,'00:01:04,'2,-,OK,OK,OK,4,400,24.39,54,OK,-,-,-,-,-,-,'0001070000,
KD69H00504,application-v0.0.0.107.srec,5.45625,-,'BG95M3LAR02A03_0,'864593055297310,'89460800235135943789,-,-,6.9613,24.8453,,PASS,2022.04.04 18:32:24,SST Denali Nextgen#1,36027,2022.04.04 18:31:21,2022.04.04 18:32:24,'00:01:03,'2,-,OK,OK,OK,4,400,24.33,54.1,OK,-,-,-,-,-,-,'0001070000,
KD69H002J4,application-v0.0.0.107.srec,5.45625,-,'BG95M3LAR02A03_0,'864593055298003,'89460800235135944175,-,-,6.92933,25.2553,,PASS,2022.04.04 18:03:42,SST Denali Nextgen#1,36027,2022.04.04 18:02:39,2022.04.04 18:03:42,'00:01:03,'2,-,OK,OK,OK,4,400,24.28,56.3,OK,-,-,-,-,-,-,'0001070000,
KD69H000Z4,application-v0.0.0.107.srec,5.45644,-,'BG95M3LAR02A03_0,'864593055297534,'89460800235135945040,-,-,7.0159,26.0417,,PASS,2022.04.04 18:34:17,SST Denali Nextgen#1,36027,2022.04.04 18:33:13,2022.04.04 18:34:17,'00:01:04,'2,-,OK,OK,OK,4,400,24.39,53.9,OK,-,-,-,-,-,-,'0001070000,
KD69H002V4,application-v0.0.0.107.srec,5.45634,-,'BG95M3LAR02A03_0,'864593055258460,'89460800235135944159,-,-,6.75906,25.6196,,PASS,2022.04.04 18:39:45,SST Denali Nextgen#1,36027,2022.04.04 18:38:42,2022.04.04 18:39:45,'00:01:03,'2,-,OK,OK,OK,4,400,24.17,54.6,OK,-,-,-,-,-,-,'0001070000,
KD69H002E4,application-v0.0.0.107.srec,5.45637,-,'BG95M3LAR02A03_0,'864593055297914,'89460800235135943771,-,-,6.5715,25.9344,,PASS,2022.04.04 18:52:03,SST Denali Nextgen#1,36027,2022.04.04 18:51:00,2022.04.04 18:52:03,'00:01:03,'2,-,OK,OK,OK,4,400,24.61,53,OK,-,-,-,-,-,-,'0001070000,
KD69H004Y4,application-v0.0.0.107.srec,5.45638,-,'BG95M3LAR02A03_0,'864593055297492,'89460800235135943755,-,-,6.88217,25.7123,,PASS,2022.04.04 18:22:24,SST Denali Nextgen#1,36027,2022.04.04 18:21:20,2022.04.04 18:22:24,'00:01:04,'2,-,OK,OK,OK,4,400,24.39,54,OK,-,-,-,-,-,-,'0001070000,
KD69H003H4,application-v0.0.0.107.srec,5.45608,-,'BG95M3LAR02A03_0,'864593055297831,'89460800235135943763,-,-,6.99274,27.047,,PASS,2022.04.04 18:00:54,SST Denali Nextgen#1,36027,2022.04.04 17:59:51,2022.04.04 18:00:54,'00:01:03,'2,-,OK,OK,OK,4,400,24.61,55.6,OK,-,-,-,-,-,-,'0001070000,
KD69H00104,application-v0.0.0.107.srec,5.4563,-,'BG95M3LAR02A03_0,'864593055297278,'89460800235135945081,-,-,6.96317,25.0023,,PASS,2022.04.04 18:46:48,SST Denali Nextgen#1,36027,2022.04.04 18:45:47,2022.04.04 18:46:48,'00:01:01,'2,-,OK,OK,OK,4,400,24.39,53.8,OK,-,-,-,-,-,-,'0001070000,
KD69H003V4,application-v0.0.0.107.srec,5.45681,-,'BG95M3LAR02A03_0,'864593055296536,'89460800235135944167,-,-,6.96421,27.9566,,PASS,2022.04.05 08:11:58,SST Denali Nextgen#1,36027,2022.04.05 08:10:59,2022.04.05 08:11:58,'00:00:59,'2,-,OK,OK,OK,4,400,22.78,62.3,OK,-,-,-,-,-,-,'0001070000,
KD69H00064,application-v0.0.0.107.srec,5.4565,-,'BG95M3LAR02A03_0,'864593055297229,'89460800235135944738,-,-,6.87389,25.6014,,PASS,2022.04.04 19:23:14,SST Denali Nextgen#1,36027,2022.04.04 19:22:10,2022.04.04 19:23:14,'00:01:04,'2,-,OK,OK,OK,4,400,24.06,54.3,OK,-,-,-,-,-,-,'0001070000,
KD69H000W4,application-v0.0.0.107.srec,5.45653,-,'BG95M3LAR02A03_0,'864593055258510,'89460800235135944597,-,-,6.75302,22.3901,,PASS,2022.04.04 19:39:50,SST Denali Nextgen#1,36027,2022.04.04 19:38:46,2022.04.04 19:39:50,'00:01:04,'2,-,OK,OK,OK,4,400,24.06,54.5,OK,-,-,-,-,-,-,'0001070000,
KD69H004X4,application-v0.0.0.107.srec,5.45625,-,'BG95M3LAR02A03_0,'864593055257595,'89460800235135944555,-,-,6.91772,28.0673,,PASS,2022.04.04 18:57:55,SST Denali Nextgen#1,36027,2022.04.04 18:56:53,2022.04.04 18:57:55,'00:01:02,'2,-,OK,OK,OK,4,400,24.17,54.3,OK,-,-,-,-,-,-,'0001070000,
KD69H00044,application-v0.0.0.107.srec,5.45673,-,'BG95M3LAR02A03_0,'864593055257553,'89460800235135944522,-,-,7.05354,26.8848,,PASS,2022.04.05 09:03:43,SST Denali Nextgen#1,36027,2022.04.05 09:02:40,2022.04.05 09:03:43,'00:01:03,'2,-,OK,OK,OK,4,400,22.67,61.9,OK,-,-,-,-,-,-,'0001070000,
KD69H00114,application-v0.0.0.107.srec,5.45644,-,'BG95M3LAR02A03_0,'864593055257777,'89460800235135944589,-,-,6.89742,27.5623,,PASS,2022.04.04 18:59:17,SST Denali Nextgen#1,36027,2022.04.04 18:58:16,2022.04.04 18:59:17,'00:01:01,'2,-,OK,OK,OK,4,400,24.28,54.2,OK,-,-,-,-,-,-,'0001070000,
KD69H003C4,application-v0.0.0.107.srec,5.45676,-,'BG95M3LAR02A03_0,'864593055257728,'89460800235135944621,-,-,7.14037,25.1113,,PASS,2022.04.05 09:00:08,SST Denali Nextgen#1,36027,2022.04.05 08:59:05,2022.04.05 09:00:08,'00:01:03,'2,-,OK,OK,OK,4,400,22.67,61.9,OK,-,-,-,-,-,-,'0001070000,
KD69H002C4,application-v0.0.0.107.srec,5.45624,-,'BG95M3LAR02A03_0,'864593055258387,'89460800235135944019,-,-,7.12397,24.2471,,PASS,2022.04.04 19:12:24,SST Denali Nextgen#1,36027,2022.04.04 19:11:22,2022.04.04 19:12:24,'00:01:02,'2,-,OK,OK,OK,4,400,24.28,54.5,OK,-,-,-,-,-,-,'0001070000,
KD69H000X4,application-v0.0.0.107.srec,5.4565,-,'BG95M3LAR02A03_0,'864593055257785,'89460800235135943649,-,-,6.85765,22.9295,,PASS,2022.04.04 19:25:52,SST Denali Nextgen#1,36027,2022.04.04 19:24:50,2022.04.04 19:25:52,'00:01:02,'2,-,OK,OK,OK,4,400,24.11,54.1,OK,-,-,-,-,-,-,'0001070000,
KD69H00124,application-v0.0.0.107.srec,5.45623,-,'BG95M3LAR02A03_0,'864593055257546,'89460800235135944894,-,-,6.83454,25.4822,,PASS,2022.04.04 19:50:31,SST Denali Nextgen#1,36027,2022.04.04 19:49:31,2022.04.04 19:50:31,'00:01:00,'2,-,OK,OK,OK,4,400,23.94,54.8,OK,-,-,-,-,-,-,'0001070000,
KD69H004E4,application-v0.0.0.107.srec,5.45646,-,'BG95M3LAR02A03_0,'864593055257637,'89460800235135944936,-,-,6.84391,25.9276,,PASS,2022.04.04 18:54:53,SST Denali Nextgen#1,36027,2022.04.04 18:53:51,2022.04.04 18:54:53,'00:01:02,'2,-,OK,OK,OK,4,400,24.28,54.4,OK,-,-,-,-,-,-,'0001070000,
KD69H001Z4,application-v0.0.0.107.srec,5.45392,-,'BG95M3LAR02A03_0,'864593055257801,'89460800235135945008,-,-,7.14859,23.2018,,PASS,2022.04.04 19:06:19,SST Denali Nextgen#1,36027,2022.04.04 19:05:21,2022.04.04 19:06:19,'00:00:58,'2,-,OK,OK,OK,4,400,24.83,51.9,OK,-,-,-,-,-,-,'0001070000,
KD69H00434,application-v0.0.0.107.srec,5.45637,-,'BG95M3LAR02A03_0,'864593055296486,'89460800235135943615,-,-,7.09206,23.2141,,PASS,2022.04.04 18:56:15,SST Denali Nextgen#1,36027,2022.04.04 18:55:14,2022.04.04 18:56:15,'00:01:01,'2,-,OK,OK,OK,4,400,24.17,53.9,OK,-,-,-,-,-,-,'0001070000,
KD69H00014,application-v0.0.0.107.srec,5.45658,-,'BG95M3LAR02A03_0,'864593055257652,'89460800235135943656,-,-,6.68071,24.2582,,PASS,2022.04.04 19:21:33,SST Denali Nextgen#1,36027,2022.04.04 19:20:30,2022.04.04 19:21:33,'00:01:03,'2,-,OK,OK,OK,4,400,24,56.3,OK,-,-,-,-,-,-,'0001070000,
KD69H00034,application-v0.0.0.107.srec,5.4568,-,'BG95M3LAR02A03_0,'864593055258312,'89460800235135943896,-,-,6.9094,24.1037,,PASS,2022.04.05 08:19:56,SST Denali Nextgen#1,36027,2022.04.05 08:18:53,2022.04.05 08:19:56,'00:01:03,'2,-,OK,OK,OK,4,400,22.44,62.5,OK,-,-,-,-,-,-,'0001070000,
KD69H00344,application-v0.0.0.107.srec,5.45637,-,'BG95M3LAR02A03_0,'864593055258494,'89460800235135944662,-,-,6.77858,25.5314,,PASS,2022.04.04 19:02:02,SST Denali Nextgen#1,36027,2022.04.04 19:01:00,2022.04.04 19:02:02,'00:01:02,'2,-,OK,OK,OK,4,400,24.17,54.7,OK,-,-,-,-,-,-,'0001070000,
KD69H00414,application-v0.0.0.107.srec,5.45638,-,'BG95M3LAR02A03_0,'864593055257736,'89460800235135944613,-,-,6.89961,26.0186,,PASS,2022.04.04 18:53:31,SST Denali Nextgen#1,36027,2022.04.04 18:52:29,2022.04.04 18:53:31,'00:01:02,'2,-,OK,OK,OK,4,400,24.22,54,OK,-,-,-,-,-,-,'0001070000,
KD69H00154,application-v0.0.0.107.srec,5.45648,-,'BG95M3LAR02A03_0,'864593055258379,'89460800235135944027,-,-,6.83615,24.7586,,PASS,2022.04.04 19:34:53,SST Denali Nextgen#1,36027,2022.04.04 19:33:49,2022.04.04 19:34:53,'00:01:04,'2,-,OK,OK,OK,4,400,23.94,54.6,OK,-,-,-,-,-,-,'0001070000,
KD69H001V4,application-v0.0.0.107.srec,5.45634,-,'BG95M3LAR02A03_0,'864593055257751,'89460800235135944829,-,-,6.80112,23.8026,,PASS,2022.04.04 19:04:55,SST Denali Nextgen#1,36027,2022.04.04 19:03:51,2022.04.04 19:04:55,'00:01:04,'2,-,OK,OK,OK,4,400,24.11,54.2,OK,-,-,-,-,-,-,'0001070000,
KD69H000B4,application-v0.0.0.107.srec,5.45624,-,'BG95M3LAR02A03_0,'864593055258346,'89460800235135944712,-,-,7.41122,27.7144,,PASS,2022.04.04 19:20:10,SST Denali Nextgen#1,36027,2022.04.04 19:19:06,2022.04.04 19:20:10,'00:01:04,'2,-,OK,OK,OK,4,400,24.06,54.1,OK,-,-,-,-,-,-,'0001070000,
KD69H002W4,application-v0.0.0.107.srec,5.45624,-,'BG95M3LAR02A03_0,'864593055257645,'89460800235135944654,-,-,6.78514,26.651,,PASS,2022.04.04 14:03:02,SST Denali Nextgen#1,36027,2022.04.04 14:01:59,2022.04.04 14:03:02,'00:01:03,'2,-,OK,OK,OK,4,398,24.17,55.2,OK,-,-,-,-,-,-,'0001070000,
KD69H002Y4,application-v0.0.0.107.srec,5.4561,-,'BG95M3LAR02A03_0,'864593055257843,'89460800235135944548,-,-,6.92116,27.5031,,PASS,2022.04.04 14:52:08,SST Denali Nextgen#1,36027,2022.04.04 14:51:04,2022.04.04 14:52:08,'00:01:04,'2,-,OK,OK,OK,4,310,24.33,54.5,OK,-,-,-,-,-,-,'0001070000,
KD69H00334,application-v0.0.0.107.srec,5.45633,-,'BG95M3LAR02A03_0,'864593055257827,'89460800235135944878,-,-,6.7943,25.2543,,PASS,2022.04.04 15:28:10,SST Denali Nextgen#1,36027,2022.04.04 15:27:09,2022.04.04 15:28:10,'00:01:01,'2,-,OK,OK,OK,4,400,24.61,54.1,OK,-,-,-,-,-,-,'0001070000,
KD69H001Y4,application-v0.0.0.107.srec,5.45633,-,'BG95M3LAR02A03_0,'864593055258395,'89460800235135944647,-,-,6.9841,26.5891,,PASS,2022.04.04 15:07:29,SST Denali Nextgen#1,36027,2022.04.04 15:06:26,2022.04.04 15:07:29,'00:01:03,'2,-,OK,OK,OK,4,400,24.83,53.6,OK,-,-,-,-,-,-,'0001070000,
KD69H00194,application-v0.0.0.107.srec,5.45613,-,'BG95M3LAR02A03_0,'864593055257702,'89460800235135943987,-,-,7.14203,24.9062,,PASS,2022.04.04 15:08:59,SST Denali Nextgen#1,36027,2022.04.04 15:07:56,2022.04.04 15:08:59,'00:01:03,'2,-,OK,OK,OK,4,400,24.61,54.4,OK,-,-,-,-,-,-,'0001070000,
KD69H003M4,application-v0.0.0.107.srec,5.4564,-,'BG95M3LAR02A03_0,'864593055257629,'89460800235135943979,-,-,6.79456,25.1934,,PASS,2022.04.04 15:26:43,SST Denali Nextgen#1,36027,2022.04.04 15:25:40,2022.04.04 15:26:43,'00:01:03,'2,-,OK,OK,OK,4,379,24.72,53.8,OK,-,-,-,-,-,-,'0001070000,
KD69H004W4,application-v0.0.0.107.srec,5.45628,-,'BG95M3LAR02A03_0,'864593055296916,'89460800235135944985,-,-,7.1159,24.8021,,PASS,2022.04.04 16:15:21,SST Denali Nextgen#1,36027,2022.04.04 16:14:22,2022.04.04 16:15:21,'00:00:59,'2,-,OK,OK,OK,4,400,25,52.8,OK,-,-,-,-,-,-,'0001070000,
