Column1,Firmware_CRC32,Battery_Volt_Test,Running_Curr_Test,Modem_FW_Test,Modem_IMEI_Test,SIM_ICCID_Test,Crystal_Test_ppm,Crystal_Test_kHz,Standby_Curr_Test,Sleep_Curr_Test,fail,Final_Result,DATE_TIME,TESTER_ID,Operator,Test_Start_Time,Test_Finish_Time,Test_Total_Time,Check_Version_Hardware,3V7_LTE_Volt_Test,Check_SW1_Test,Check_SW2_Test,Processor_Functional,Measure_Light_Sensor_Dark,Measure_Light_Sensor_Light,Measure_Temp_Sensor,Measure_Humidity_Sensor,Check_Memory_EEPROM,Led1_Red_On,Led1_Green_On,Led1_Blue_On,Led2_Red_On,Led2_Green_On,Led2_Blue_On,Check_Version_Application,
KD59G000A4,application-v0.0.0.107.srec,4.86766,-,'BG95M3LAR02A03_0,'864351059222820,'89460800235135992281,-,-,7.08311,24.2643,,PASS,2022.04.01 16:52:16,SST Denali Nextgen#1,36027,2022.04.01 16:51:14,2022.04.01 16:52:16,'00:01:02,'3,-,OK,OK,OK,4,285,25.44,60.1,OK,-,-,-,-,-,-,'0001070000,
KD59G002H4,application-v0.0.0.107.srec,4.86767,-,'BG95M3LAR02A03_0,'864351059233710,'89460800235135991994,-,-,7.30981,28.0721,,PASS,2022.04.01 16:50:54,SST Denali Nextgen#1,36027,2022.04.01 16:49:52,2022.04.01 16:50:54,'00:01:02,'3,-,OK,OK,OK,4,319,26.5,55.4,OK,-,-,-,-,-,-,'0001070000,
KD59G00124,application-v0.0.0.107.srec,4.86915,-,'BG95M3LAR02A03_0,'864351059233843,'89460800235135991960,-,-,7.00013,24.9228,,PASS,2022.04.01 16:44:05,SST Denali Nextgen#1,36027,2022.04.01 16:42:25,2022.04.01 16:44:05,'00:01:40,'3,-,OK,OK,OK,4,348,25.33,60.2,OK,-,-,-,-,-,-,'0001070000,
KD69G001G4,application-v0.0.0.107.srec,4.84543,-,'BG95M3LAR02A03_0,'864593055262298,'89460800235135992299,-,-,7.30497,24.712,,PASS,2022.04.02 10:13:13,SST Denali Nextgen#1,36027,2022.04.02 10:11:52,2022.04.02 10:13:13,'00:01:21,'3,-,OK,OK,OK,4,400,23.33,57.3,OK,-,-,-,-,-,-,'0001070000,
KD59G000G4,application-v0.0.0.107.srec,4.8692,-,'BG95M3LAR02A03_0,'864351059233827,'89460800235135992323,-,-,7.10231,25.5188,,PASS,2022.04.01 16:02:52,SST Denali Nextgen#1,36027,2022.04.01 16:01:13,2022.04.01 16:02:52,'00:01:39,'3,-,OK,OK,OK,4,197,25.28,59.6,OK,-,-,-,-,-,-,'0001070000,
KD59G002P4,application-v0.0.0.107.srec,4.86916,-,'BG95M3LAR02A03_0,'864593055296007,'89460800235135992331,-,-,7.31278,25.8369,,PASS,2022.04.01 16:40:42,SST Denali Nextgen#1,36027,2022.04.01 16:38:55,2022.04.01 16:40:42,'00:01:47,'3,-,OK,OK,OK,4,290,25.39,60.1,OK,-,-,-,-,-,-,'0001070000,
KD59G001J4,application-v0.0.0.107.srec,4.86529,-,'BG95M3LAR02A03_0,'864351059222952,'89460800235135992356,-,-,6.96759,26.6107,,PASS,2022.04.01 15:58:30,SST Denali Nextgen#1,36027,2022.04.01 15:57:32,2022.04.01 15:58:30,'00:00:58,'3,-,OK,OK,OK,4,209,26.61,54.2,OK,-,-,-,-,-,-,'0001070000,
KD69G001S4,application-v0.0.0.107.srec,4.8691,-,'BG95M3LAR02A03_0,'864351059233744,'89460800235135992364,-,-,7.08852,23.8206,,PASS,2022.04.01 15:57:13,SST Denali Nextgen#1,36027,2022.04.01 15:55:35,2022.04.01 15:57:13,'00:01:38,'3,-,OK,OK,OK,4,193,25.17,59.8,OK,-,-,-,-,-,-,'0001070000,
KD59G001E4,application-v0.0.0.107.srec,4.86914,-,'BG95M3LAR02A03_0,'864351059222457,'89460800235135948226,-,-,7.3007,26.7625,,PASS,2022.04.01 15:40:50,SST Denali Nextgen#1,36027,2022.04.01 15:39:10,2022.04.01 15:40:50,'00:01:40,'3,-,OK,OK,OK,4,213,25.28,59.9,OK,-,-,-,-,-,-,'0001070000,
KD59G001Q4,application-v0.0.0.107.srec,4.86913,-,'BG95M3LAR02A03_0,'864351059222127,'89460800235135991978,-,-,7.37217,23.453,,PASS,2022.04.01 16:33:30,SST Denali Nextgen#1,36027,2022.04.01 16:31:51,2022.04.01 16:33:30,'00:01:39,'3,-,OK,OK,OK,4,391,25.44,59.7,OK,-,-,-,-,-,-,'0001070000,
KD59G00234,application-v0.0.0.107.srec,4.87104,-,'BG95M3LAR02A03_0,'864351059222135,'89460800235135991986,-,-,7.08534,23.392,,PASS,2022.04.02 10:15:04,SST Denali Nextgen#1,36027,2022.04.02 10:13:27,2022.04.02 10:15:04,'00:01:37,'3,-,OK,OK,OK,4,400,23.22,57.5,OK,-,-,-,-,-,-,'0001070000,
KD59G002B4,application-v0.0.0.107.srec,4.87104,-,'BG95M3LAR02A03_0,'864593055295751,'89460800235135991945,-,-,7.19768,24.9833,,PASS,2022.04.02 09:50:23,SST Denali Nextgen#1,36027,2022.04.02 09:48:45,2022.04.02 09:50:23,'00:01:38,'3,-,OK,OK,OK,4,400,23.06,58.4,OK,-,-,-,-,-,-,'0001070000,
KD59G000H4,application-v0.0.0.107.srec,4.87094,-,'BG95M3LAR02A03_0,'864351059222580,'89460800235135991952,-,-,7.41387,25.3245,,PASS,2022.04.02 09:46:08,SST Denali Nextgen#1,36027,2022.04.02 09:44:29,2022.04.02 09:46:08,'00:01:39,'3,-,OK,OK,OK,4,400,23,58.2,OK,-,-,-,-,-,-,'0001070000,
KD59G00084,application-v0.0.0.107.srec,4.87095,-,'BG95M3LAR02A03_0,'864351059222564,'89460800235135993206,-,-,7.11434,25.3571,,PASS,2022.04.02 11:24:59,SST Denali Nextgen#1,36027,2022.04.02 11:23:22,2022.04.02 11:24:59,'00:01:37,'3,-,OK,OK,OK,4,400,23.56,57.1,OK,-,-,-,-,-,-,'0001070000,
KD59G00244,application-v0.0.0.107.srec,4.87094,-,'BG95M3LAR02A03_0,'864351059233793,'89460800235135993214,-,-,7.15952,25.107,,PASS,2022.04.02 09:36:36,SST Denali Nextgen#1,36027,2022.04.02 09:34:57,2022.04.02 09:36:36,'00:01:39,'3,-,OK,OK,OK,4,400,23,58.4,OK,-,-,-,-,-,-,'0001070000,
KD59G002A4,application-v0.0.0.107.srec,4.87098,-,'BG95M3LAR02A03_0,'864351059233769,'89460800235135991937,-,-,7.14198,25.6515,,PASS,2022.04.02 09:38:33,SST Denali Nextgen#1,36027,2022.04.02 09:36:56,2022.04.02 09:38:33,'00:01:37,'3,-,OK,OK,OK,4,400,22.83,58.7,OK,-,-,-,-,-,-,'0001070000,
KD59G00064,application-v0.0.0.107.srec,4.87095,-,'BG95M3LAR02A03_0,'864351059233702,'89460800235135991564,-,-,7.27712,25.7109,,PASS,2022.04.02 09:52:39,SST Denali Nextgen#1,36027,2022.04.02 09:51:00,2022.04.02 09:52:39,'00:01:39,'3,-,OK,OK,OK,4,386,23.11,58,OK,-,-,-,-,-,-,'0001070000,
KD69G00064,application-v0.0.0.107.srec,4.87101,-,'BG95M3LAR02A03_0,'864351059233694,'89460800235135992067,-,-,7.03995,25.5519,,PASS,2022.04.02 09:54:36,SST Denali Nextgen#1,36027,2022.04.02 09:52:59,2022.04.02 09:54:36,'00:01:37,'3,-,OK,OK,OK,4,400,23,57.7,OK,-,-,-,-,-,-,'0001070000,
KD69G000Z4,application-v0.0.0.107.srec,4.87107,-,'BG95M3LAR02A03_0,'864351059233751,'89460800235135991911,-,-,7.08961,24.7154,,PASS,2022.04.02 09:56:57,SST Denali Nextgen#1,36027,2022.04.02 09:55:20,2022.04.02 09:56:57,'00:01:37,'3,-,OK,OK,OK,4,400,23.06,57.8,OK,-,-,-,-,-,-,'0001070000,
KD59G000N4,application-v0.0.0.107.srec,4.87052,-,'BG95M3LAR02A03_0,'864351059233835,'89460800235135993222,-,-,6.96551,24.5911,,PASS,2022.04.02 09:58:54,SST Denali Nextgen#1,36027,2022.04.02 09:57:17,2022.04.02 09:58:54,'00:01:37,'3,-,OK,OK,OK,4,400,23.11,58.1,OK,-,-,-,-,-,-,'0001070000,
KD59G002F4,application-v0.0.0.107.srec,4.87097,-,'BG95M3LAR02A03_0,'864351059221939,'89460800235135993230,-,-,6.9968,25.1796,,PASS,2022.04.02 10:01:39,SST Denali Nextgen#1,36027,2022.04.02 10:00:02,2022.04.02 10:01:39,'00:01:37,'3,-,OK,OK,OK,4,400,23.11,58.2,OK,-,-,-,-,-,-,'0001070000,
KD59G00074,application-v0.0.0.107.srec,4.87108,-,'BG95M3LAR02A03_0,'864593055296171,'89460800235135992240,-,-,7.05578,24.3816,,PASS,2022.04.02 10:03:48,SST Denali Nextgen#1,36027,2022.04.02 10:02:11,2022.04.02 10:03:48,'00:01:37,'3,-,OK,OK,OK,4,400,23.28,58.8,OK,-,-,-,-,-,-,'0001070000,
KD59G00274,application-v0.0.0.107.srec,4.86946,-,'BG95M3LAR02A03_0,'864351059222531,'89460800235135992026,-,-,7.33022,24.7478,,PASS,2022.04.02 10:08:57,SST Denali Nextgen#1,36027,2022.04.02 10:07:54,2022.04.02 10:08:57,'00:01:03,'3,-,OK,OK,OK,4,400,23.33,57.1,OK,-,-,-,-,-,-,'0001070000,
KD69G001D4,application-v0.0.0.107.srec,4.87085,-,'BG95M3LAR02A03_0,'864593055262322,'89460800235135992034,-,-,7.21569,25.6865,,PASS,2022.04.02 10:07:40,SST Denali Nextgen#1,36027,2022.04.02 10:06:01,2022.04.02 10:07:40,'00:01:39,'3,-,OK,OK,OK,4,400,23.22,58.9,OK,-,-,-,-,-,-,'0001070000,
KD59G000V4,application-v0.0.0.107.srec,4.87095,-,'BG95M3LAR02A03_0,'864593055295108,'89460800235135993180,-,-,7.13974,25.1569,,PASS,2022.04.02 10:32:19,SST Denali Nextgen#1,36027,2022.04.02 10:30:40,2022.04.02 10:32:19,'00:01:39,'3,-,OK,OK,OK,4,400,23.33,56.7,OK,-,-,-,-,-,-,'0001070000,
KD59G002G4,application-v0.0.0.107.srec,4.87105,-,'BG95M3LAR02A03_0,'864351059233819,'89460800235135993164,-,-,7.20903,24.4308,,PASS,2022.04.02 10:27:52,SST Denali Nextgen#1,36027,2022.04.02 10:26:13,2022.04.02 10:27:52,'00:01:39,'3,-,OK,OK,OK,4,400,23.33,57.2,OK,-,-,-,-,-,-,'0001070000,
KD59G00204,application-v0.0.0.107.srec,4.87098,-,'BG95M3LAR02A03_0,'864351059222523,'89460800235135992042,-,-,7.43823,25.9751,,PASS,2022.04.02 10:30:03,SST Denali Nextgen#1,36027,2022.04.02 10:28:24,2022.04.02 10:30:03,'00:01:39,'3,-,OK,OK,OK,4,400,23.5,56.6,OK,-,-,-,-,-,-,'0001070000,
KD59G002Y4,application-v0.0.0.107.srec,4.87093,-,'BG95M3LAR02A03_0,'864593055295892,'89460800235135992059,-,-,7.3867,25.3359,,PASS,2022.04.02 10:21:31,SST Denali Nextgen#1,36027,2022.04.02 10:19:52,2022.04.02 10:21:31,'00:01:39,'3,-,OK,OK,OK,4,400,23.28,57.6,OK,-,-,-,-,-,-,'0001070000,
KD59G001W4,application-v0.0.0.107.srec,4.87094,-,'BG95M3LAR02A03_0,'864351059233785,'89460800235135991549,-,-,7.14969,26.2597,,PASS,2022.04.02 10:17:22,SST Denali Nextgen#1,36027,2022.04.02 10:15:43,2022.04.02 10:17:22,'00:01:39,'3,-,OK,OK,OK,4,400,23.22,57.3,OK,-,-,-,-,-,-,'0001070000,
KD59G001H4,application-v0.0.0.107.srec,4.86915,-,'BG95M3LAR02A03_0,'864593055262389,'89460800235135991861,-,-,6.97686,26.8202,,PASS,2022.04.01 18:11:44,SST Denali Nextgen#1,36027,2022.04.01 18:10:07,2022.04.01 18:11:44,'00:01:37,'3,-,OK,OK,OK,4,307,24.94,60.2,OK,-,-,-,-,-,-,'0001070000,
KD59G00034,application-v0.0.0.107.srec,4.86909,-,'BG95M3LAR02A03_0,'864593055295827,'89460800235135992117,-,-,7.18977,24.9606,,PASS,2022.04.01 18:07:44,SST Denali Nextgen#1,36027,2022.04.01 18:06:05,2022.04.01 18:07:44,'00:01:39,'3,-,OK,OK,OK,4,339,24.78,60.8,OK,-,-,-,-,-,-,'0001070000,
KD59G00284,application-v0.0.0.107.srec,4.86907,-,'BG95M3LAR02A03_0,'864351059221921,'89460800235135992109,-,-,6.95333,24.9065,,PASS,2022.04.01 18:04:27,SST Denali Nextgen#1,36027,2022.04.01 18:02:40,2022.04.01 18:04:27,'00:01:47,'3,-,OK,OK,OK,4,377,24.72,61,OK,-,-,-,-,-,-,'0001070000,
KD59G001R4,application-v0.0.0.107.srec,4.86909,-,'BG95M3LAR02A03_0,'864351059222077,'89460800235135992083,-,-,7.17113,25.5822,,PASS,2022.04.01 18:02:15,SST Denali Nextgen#1,36027,2022.04.01 18:00:36,2022.04.01 18:02:15,'00:01:39,'3,-,OK,OK,OK,4,364,24.67,60.9,OK,-,-,-,-,-,-,'0001070000,
KD59G00104,application-v0.0.0.107.srec,4.86902,-,'BG95M3LAR02A03_0,'864593055295967,'89460800235135992091,-,-,6.9564,24.4653,,PASS,2022.04.01 18:09:41,SST Denali Nextgen#1,36027,2022.04.01 18:08:03,2022.04.01 18:09:41,'00:01:38,'3,-,OK,OK,OK,4,341,24.72,60.5,OK,-,-,-,-,-,-,'0001070000,
KD59G002V4,application-v0.0.0.107.srec,4.86918,-,'BG95M3LAR02A03_0,'864351059221962,'89460800235135992075,-,-,6.95916,25.1569,,PASS,2022.04.01 18:00:21,SST Denali Nextgen#1,36027,2022.04.01 17:58:43,2022.04.01 18:00:21,'00:01:38,'3,-,OK,OK,OK,4,371,24.83,61,OK,-,-,-,-,-,-,'0001070000,
KD59G002D4,application-v0.0.0.107.srec,4.8691,-,'BG95M3LAR02A03_0,'864593055295785,'89460800235135991879,-,-,7.01793,25.304,,PASS,2022.04.01 17:55:32,SST Denali Nextgen#1,36027,2022.04.01 17:53:52,2022.04.01 17:55:32,'00:01:40,'3,-,OK,OK,OK,4,400,24.89,61.2,OK,-,-,-,-,-,-,'0001070000,
KD59G000X4,application-v0.0.0.107.srec,4.86912,-,'BG95M3LAR02A03_0,'864351059222879,'89460800235135991853,-,-,7.01585,25.6806,,PASS,2022.04.01 17:58:24,SST Denali Nextgen#1,36027,2022.04.01 17:56:45,2022.04.01 17:58:24,'00:01:39,'3,-,OK,OK,OK,4,359,24.83,61,OK,-,-,-,-,-,-,'0001070000,
KD59G001S4,application-v0.0.0.107.srec,4.86921,-,'BG95M3LAR02A03_0,'864351059221954,'89460800235135991598,-,-,6.92579,27.9101,,PASS,2022.04.01 17:15:32,SST Denali Nextgen#1,36027,2022.04.01 17:13:52,2022.04.01 17:15:32,'00:01:40,'3,-,OK,OK,OK,4,377,25.5,59.6,OK,-,-,-,-,-,-,'0001070000,
KD59G00364,application-v0.0.0.107.srec,4.86905,-,'BG95M3LAR02A03_0,'864593055295926,'89460800235135991903,-,-,6.98201,24.4797,,PASS,2022.04.01 17:17:51,SST Denali Nextgen#1,36027,2022.04.01 17:16:04,2022.04.01 17:17:51,'00:01:47,'3,-,OK,OK,OK,4,348,25.5,59.4,OK,-,-,-,-,-,-,'0001070000,
KD69G001T4,application-v0.0.0.107.srec,4.86922,-,'BG95M3LAR02A03_0,'864351059222853,'89460800235135991895,-,-,7.01392,24.3609,,PASS,2022.04.01 17:19:50,SST Denali Nextgen#1,36027,2022.04.01 17:18:11,2022.04.01 17:19:50,'00:01:39,'3,-,OK,OK,OK,4,276,25.5,60,OK,-,-,-,-,-,-,'0001070000,
KD59G00024,application-v0.0.0.107.srec,4.86918,-,'BG95M3LAR02A03_0,'864351059222911,'89460800235135992125,-,-,7.05114,24.4719,,PASS,2022.04.01 17:23:58,SST Denali Nextgen#1,36027,2022.04.01 17:22:20,2022.04.01 17:23:58,'00:01:38,'3,-,OK,OK,OK,4,289,25.44,59.2,OK,-,-,-,-,-,-,'0001070000,
KD59G00374,application-v0.0.0.107.srec,4.86919,-,'BG95M3LAR02A03_0,'864593055295876,'89460800235135991846,-,-,6.97379,27.4568,,PASS,2022.04.01 17:25:51,SST Denali Nextgen#1,36027,2022.04.01 17:24:12,2022.04.01 17:25:51,'00:01:39,'3,-,OK,OK,OK,4,328,25.33,59.9,OK,-,-,-,-,-,-,'0001070000,
KD59G00144,application-v0.0.0.107.srec,4.86911,-,'BG95M3LAR02A03_0,'864593055262363,'89460800235135991838,-,-,6.98644,28.2615,,PASS,2022.04.01 17:27:54,SST Denali Nextgen#1,36027,2022.04.01 17:26:17,2022.04.01 17:27:54,'00:01:37,'3,-,OK,OK,OK,4,262,25.39,59.7,OK,-,-,-,-,-,-,'0001070000,
KD59G00254,application-v0.0.0.107.srec,4.86915,-,'BG95M3LAR02A03_0,'864593055262371,'89460800235135992133,-,-,6.94688,25.4008,,PASS,2022.04.01 17:53:22,SST Denali Nextgen#1,36027,2022.04.01 17:51:43,2022.04.01 17:53:22,'00:01:39,'3,-,OK,OK,OK,4,310,24.72,61.4,OK,-,-,-,-,-,-,'0001070000,
KD59G00224,application-v0.0.0.107.srec,4.86914,-,'BG95M3LAR02A03_0,'864351059222515,'89460800235135993156,-,-,7.24276,23.8074,,PASS,2022.04.01 17:11:29,SST Denali Nextgen#1,36027,2022.04.01 17:09:49,2022.04.01 17:11:29,'00:01:40,'3,-,OK,OK,OK,4,299,25.44,59.5,OK,-,-,-,-,-,-,'0001070000,
KD59G001C4,application-v0.0.0.107.srec,4.86919,-,'BG95M3LAR02A03_0,'864593055297013,'89460800235135991804,-,-,7.29107,22.9508,,PASS,2022.04.01 17:13:22,SST Denali Nextgen#1,36027,2022.04.01 17:11:42,2022.04.01 17:13:22,'00:01:40,'3,-,OK,OK,OK,4,299,25.44,59,OK,-,-,-,-,-,-,'0001070000,
KD59G000E4,application-v0.0.0.107.srec,4.86929,-,'BG95M3LAR02A03_0,'864351059233801,'89460800235135991812,-,-,7.10523,24.7178,,PASS,2022.04.01 17:08:37,SST Denali Nextgen#1,36027,2022.04.01 17:06:58,2022.04.01 17:08:37,'00:01:39,'3,-,OK,OK,OK,4,265,25.39,59.4,OK,-,-,-,-,-,-,'0001070000,
KD59G00324,application-v0.0.0.107.srec,4.86912,-,'BG95M3LAR02A03_0,'864351059222507,'89460800235135991820,-,-,7.25224,19.1729,,PASS,2022.04.01 17:05:56,SST Denali Nextgen#1,36027,2022.04.01 17:04:17,2022.04.01 17:05:56,'00:01:39,'3,-,OK,OK,OK,4,326,25.5,58.5,OK,-,-,-,-,-,-,'0001070000,
KD59G00014,application-v0.0.0.107.srec,4.86919,-,'BG95M3LAR02A03_0,'864351059222069,'89460800235135992232,-,-,6.99784,24.1565,,PASS,2022.04.01 16:59:24,SST Denali Nextgen#1,36027,2022.04.01 16:57:45,2022.04.01 16:59:24,'00:01:39,'3,-,OK,OK,OK,4,292,25.39,59.7,OK,-,-,-,-,-,-,'0001070000,
KD59G002X4,application-v0.0.0.107.srec,4.86739,-,'BG95M3LAR02A03_0,'864593055295942,'89460800235135991515,-,-,7.05635,25.8238,,PASS,2022.04.01 17:01:17,SST Denali Nextgen#1,36027,2022.04.01 17:00:13,2022.04.01 17:01:17,'00:01:04,'3,-,OK,OK,OK,4,271,25.28,59.8,OK,-,-,-,-,-,-,'0001070000,
KD59G001Y4,application-v0.0.0.107.srec,4.86924,-,'BG95M3LAR02A03_0,'864351059221913,'89460800235135991523,-,-,7.0905,22.543,,PASS,2022.04.01 17:03:58,SST Denali Nextgen#1,36027,2022.04.01 17:02:18,2022.04.01 17:03:58,'00:01:40,'3,-,OK,OK,OK,4,280,25.39,59.9,OK,-,-,-,-,-,-,'0001070000,
KD59G002S4,application-v0.0.0.107.srec,4.87098,-,'BG95M3LAR02A03_0,'864351059223703,'89460800235135992208,-,-,7.02059,25.7678,,PASS,2022.04.02 10:40:08,SST Denali Nextgen#1,36027,2022.04.02 10:38:29,2022.04.02 10:40:08,'00:01:39,'3,-,OK,OK,OK,4,400,23.39,57.5,OK,-,-,-,-,-,-,'0001070000,
KD69G00024,application-v0.0.0.107.srec,4.87087,-,'BG95M3LAR02A03_0,'864593055296197,'89460800235135992794,-,-,7.31502,23.5208,,PASS,2022.04.02 11:16:08,SST Denali Nextgen#1,36027,2022.04.02 11:14:29,2022.04.02 11:16:08,'00:01:39,'3,-,OK,OK,OK,4,400,23.5,57,OK,-,-,-,-,-,-,'0001070000,
KD59G00314,application-v0.0.0.107.srec,4.87083,-,'BG95M3LAR02A03_0,'864351059223653,'89460800235135993115,-,-,7.2842,24.4771,,PASS,2022.04.02 11:26:53,SST Denali Nextgen#1,36027,2022.04.02 11:25:14,2022.04.02 11:26:53,'00:01:39,'3,-,OK,OK,OK,4,400,23.56,56.9,OK,-,-,-,-,-,-,'0001070000,
KD69G00014,application-v0.0.0.107.srec,4.87091,-,'BG95M3LAR02A03_0,'864351059223687,'89460800235135992158,-,-,7.09419,25.2859,,PASS,2022.04.02 09:34:43,SST Denali Nextgen#1,36027,2022.04.02 09:33:04,2022.04.02 09:34:43,'00:01:39,'3,-,OK,OK,OK,4,400,23.06,58.3,OK,-,-,-,-,-,-,'0001070000,
KD59G001D4,application-v0.0.0.107.srec,4.87094,-,'BG95M3LAR02A03_0,'864351059222366,'89460800235135992737,-,-,7.07967,24.164,,PASS,2022.04.02 10:36:17,SST Denali Nextgen#1,36027,2022.04.02 10:34:38,2022.04.02 10:36:17,'00:01:39,'3,-,OK,OK,OK,4,364,23.28,57.3,OK,-,-,-,-,-,-,'0001070000,
KD59G00044,application-v0.0.0.107.srec,4.87087,-,'BG95M3LAR02A03_0,'864351059222960,'89460800235135992455,-,-,7.17858,25.7125,,PASS,2022.04.02 10:44:06,SST Denali Nextgen#1,36027,2022.04.02 10:42:27,2022.04.02 10:44:06,'00:01:39,'3,-,OK,OK,OK,4,400,23.22,57.4,OK,-,-,-,-,-,-,'0001070000,
KD59G002T4,application-v0.0.0.107.srec,4.87095,-,'BG95M3LAR02A03_0,'864593055295868,'89460800235135992166,-,-,7.18993,22.8604,,PASS,2022.04.02 10:46:11,SST Denali Nextgen#1,36027,2022.04.02 10:44:32,2022.04.02 10:46:11,'00:01:39,'3,-,OK,OK,OK,4,400,23.33,57.6,OK,-,-,-,-,-,-,'0001070000,
KD59G002C4,application-v0.0.0.107.srec,4.87096,-,'BG95M3LAR02A03_0,'864351059223000,'89460800235135992463,-,-,7.20867,24.5287,,PASS,2022.04.02 10:59:43,SST Denali Nextgen#1,36027,2022.04.02 10:58:04,2022.04.02 10:59:43,'00:01:39,'3,-,OK,OK,OK,4,400,23.44,56.8,OK,-,-,-,-,-,-,'0001070000,
KD59G00304,application-v0.0.0.107.srec,4.87096,-,'BG95M3LAR02A03_0,'864351059223034,'89460800235135992471,-,-,7.09482,25.1266,,PASS,2022.04.02 11:01:53,SST Denali Nextgen#1,36027,2022.04.02 11:00:14,2022.04.02 11:01:53,'00:01:39,'3,-,OK,OK,OK,4,400,23.39,57,OK,-,-,-,-,-,-,'0001070000,
