Column1,Firmware_CRC32,Battery_Volt_Test,Running_Curr_Test,Modem_FW_Test,Modem_IMEI_Test,SIM_ICCID_Test,Crystal_Test_ppm,Crystal_Test_kHz,Standby_Curr_Test,Sleep_Curr_Test,fail,Final_Result,DATE_TIME,TESTER_ID,TEAM_SN,Operator,Test_Start_Time,Test_Finish_Time,Test_Total_Time,Check_Accelerometer,NFC_ID_Test,Measure_Pressure_Sensor,Check_Version_Hardware,3V7_LTE_Volt_Test,Check_SW1_Test,Check_SW2_Test,Processor_Functional,Measure_Light_Sensor_Dark,Measure_Light_Sensor_Light,Measure_Temp_Sensor,Measure_Humidity_Sensor,Check_Memory_EEPROM,Led1_Red_On,Led1_Green_On,Led1_Blue_On,Led2_Red_On,Led2_Green_On,Led2_Blue_On,Check_Version_Application,
JEG9B001N4,Denali_v0100000002.mot 2F1607E1,4.851,52.712,'BG96MAR02A07M1G,'860640052403807,'89460800231121176716,36.89,32.7692088,6.815,28.309,-,PASS,2021.05.12 21:47:09,SST Denali#1(TEST HEAD 1),'5210325006786,71064,2021.05.12 21:39:19,2021.05.12 21:47:09,'00:07:50,'OK,E0022500E3FDEE1C,4115704,'0000000007,3.672,OK,OK,OK,3,142,25.09,70.84,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEF9B00B14,Denali_v0100000002.mot 2F1607E1,4.852,52.400,'BG96MAR02A07M1G,'860640052462290,'89460800231121177557,15.90,32.7685209,5.444,22.202,-,PASS,2021.05.12 18:57:21,SST Denali#1(TEST HEAD 4),'5210325005921,36254,2021.05.12 18:51:50,2021.05.12 18:57:21,'00:05:31,'OK,E0022500E3FC3B29,4105468,'0000000007,3.672,OK,OK,OK,6,184,25.55,68.80,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B00094,Denali_v0100000002.mot 2F1607E1,4.849,53.942,'BG96MAR02A07M1G,'860640052467281,'89460800231121184405,16.81,32.7685507,6.693,24.997,-,PASS,2021.05.12 19:10:30,SST Denali#1(TEST HEAD 4),'5210325006238,36254,2021.05.12 19:05:12,2021.05.12 19:10:30,'00:05:18,'OK,E0022500E4113B48,4105660,'0000000007,3.679,OK,OK,OK,5,179,25.44,69.64,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B000F4,Denali_v0100000002.mot 2F1607E1,4.848,53.643,'BG96MAR02A07M1G,'860640052380385,'89460800231121177524,17.18,32.7685631,7.013,27.533,-,PASS,2021.05.12 18:59:46,SST Denali#1(TEST HEAD 1),'5210325005930,36254,2021.05.12 18:56:13,2021.05.12 18:59:46,'00:03:33,'OK,E0022500E41EFB03,4105737,'0000000007,3.678,OK,OK,OK,3,136,24.91,71.11,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B000X4,Denali_v0100000002.mot 2F1607E1,4.866,54.691,'BG96MAR02A07M1G,'860640052477439,'89460800231121182482,33.33,32.7690923,6.864,29.551,-,PASS,2021.05.12 15:30:56,SST Denali#1(TEST HEAD 2),'5210325006174,36254,2021.05.12 15:23:46,2021.05.12 15:30:56,'00:07:10,'OK,E0022500E41D3F7C,4106557,'0000000007,3.689,OK,OK,OK,5,128,25.73,65.79,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B005J4,Denali_v0100000002.mot 2F1607E1,4.847,52.537,'BG96MAR02A07M1G,'860640052290089,'89460800231121177813,32.78,32.7690740,6.980,28.827,-,PASS,2021.05.13 08:20:27,SST Denali#1(TEST HEAD 1),'5210325006698,81087,2021.05.13 08:12:28,2021.05.13 08:20:27,'00:07:59,'OK,E0022500E3FE79FF,4121290,'0000000007,3.686,OK,OK,OK,2,133,24.32,76.42,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B005S4,Denali_v0100000002.mot 2F1607E1,4.866,52.966,'BG96MAR02A07M1G,'860640052467653,'89460800231121177730,15.18,32.7684974,6.868,18.838,-,PASS,2021.05.13 00:01:37,SST Denali#1(TEST HEAD 2),'5210325006711,71064,2021.05.12 23:54:15,2021.05.13 00:01:37,'00:07:22,'OK,E0022500E404FD68,4119132,'0000000007,3.674,OK,OK,OK,2,122,25.11,69.11,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B00654,Denali_v0100000002.mot 2F1607E1,4.852,53.194,'BG96MAR02A07M1G,'860640052344555,'89460800231121185147,16.11,32.7685280,6.990,29.034,-,PASS,2021.05.12 23:52:48,SST Denali#1(TEST HEAD 1),'5210325006757,71064,2021.05.12 23:45:35,2021.05.12 23:52:48,'00:07:13,'OK,E0022500E3FB3EA3,4119096,'0000000007,3.691,OK,OK,OK,1,128,25.04,69.68,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B007C4,Denali_v0100000002.mot 2F1607E1,4.852,53.967,'BG96MAR02A07M1G,'860640052380161,'89460800231121181898,22.81,32.7687473,6.867,28.982,-,PASS,2021.05.13 00:59:19,SST Denali#1(TEST HEAD 4),'5210325005943,71064,2021.05.13 00:51:08,2021.05.13 00:59:19,'00:08:11,'OK,E0022500E423803D,4117514,'0000000007,3.680,OK,OK,OK,3,171,25.90,68.18,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B008B4,Denali_v0100000002.mot 2F1607E1,4.853,53.735,'BG96MAR02A07M1G,'860640052471184,'89460800231121182870,38.26,32.7692537,6.761,25.256,-,PASS,2021.05.13 01:29:27,SST Denali#1(TEST HEAD 1),'5210325006114,71064,2021.05.13 01:19:10,2021.05.13 01:29:27,'00:10:17,'OK,E0022500E3FDE9DD,4117662,'0000000007,3.659,OK,OK,OK,1,136,25.45,69.81,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B00804,Denali_v0100000002.mot 2F1607E1,4.866,52.732,'BG96MAR02A07M1G,'860640052379999,'89460800231121182045,11.27,32.7683692,6.824,27.222,-,PASS,2021.05.13 08:20:31,SST Denali#1(TEST HEAD 2),'5210325006179,81087,2021.05.13 08:12:29,2021.05.13 08:20:31,'00:08:02,'OK,E0022500E41F46D3,4122836,'0000000007,3.671,OK,OK,OK,4,125,24.13,76.90,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B00934,Denali_v0100000002.mot 2F1607E1,4.852,52.967,'BG96MAR02A07M1G,'860640052280593,'89460800231121183555,11.53,32.7683779,6.723,31.208,-,PASS,2021.05.12 23:55:23,SST Denali#1(TEST HEAD 4),'5210325006230,71064,2021.05.12 23:49:44,2021.05.12 23:55:23,'00:05:39,'OK,E0022500E41CC50F,4118879,'0000000007,3.672,OK,OK,OK,2,174,25.16,69.90,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B007X4,Denali_v0100000002.mot 2F1607E1,4.867,52.066,'BG96MAR02A07M1G,'860640052294644,'89460800231121178274,28.86,32.7689458,6.814,29.137,-,PASS,2021.05.12 10:33:20,SST Denali#1(TEST HEAD 2),'5210325006319,36254,2021.05.12 10:26:20,2021.05.12 10:33:20,'00:07:00,'OK,E0022500E404E7AF,4124984,'0000000007,3.671,OK,OK,OK,4,121,24.88,68.10,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B00834,Denali_v0100000002.mot 2F1607E1,4.843,52.628,'BG96MAR02A07M1G,'860640052372713,'89460800231121178076,12.23,32.7684006,6.884,30.224,-,PASS,2021.05.12 16:39:47,SST Denali#1(TEST HEAD 1),'5210325006589,36254,2021.05.12 16:35:40,2021.05.12 16:39:47,'00:04:07,'OK,E0022500E41CA312,4104369,'0000000007,3.679,OK,OK,OK,3,137,25.74,63.53,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B008W4,Denali_v0100000002.mot 2F1607E1,4.852,52.705,'BG96MAR02A07M1G,'860640052366459,'89460800231121185212,20.39,32.7686682,6.924,29.293,-,PASS,2021.05.12 18:32:32,SST Denali#1(TEST HEAD 4),'5210325006648,36254,2021.05.12 18:27:08,2021.05.12 18:32:32,'00:05:24,'OK,E0022500E41FA479,4106144,'0000000007,3.669,OK,OK,OK,5,187,25.19,65.83,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B00774,Denali_v0100000002.mot 2F1607E1,4.853,53.920,'BG96MAR02A07M1G,'860640052396084,'89460800231121182912,28.94,32.7689484,7.109,26.860,-,PASS,2021.05.13 01:36:46,SST Denali#1(TEST HEAD 1),'5210325006773,71064,2021.05.13 01:30:01,2021.05.13 01:36:46,'00:06:45,'OK,E0022500E405F8B7,4117049,'0000000007,3.689,OK,OK,OK,1,138,25.36,71.54,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B00414,Denali_v0100000002.mot 2F1607E1,4.866,53.619,'BG96MAR02A07M1G,'860640052396001,'89460800231121182896,5.61,32.7681837,7.027,23.134,-,PASS,2021.05.13 01:40:52,SST Denali#1(TEST HEAD 2),'5210325006766,71064,2021.05.13 01:33:56,2021.05.13 01:40:52,'00:06:56,'OK,E0022500E405FA8A,4117296,'0000000007,3.669,OK,OK,OK,3,131,25.81,69.69,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B003T4,Denali_v0100000002.mot 2F1607E1,4.851,52.953,'BG96MAR02A07M1G,'860640052295229,'89460800231121183084,9.13,32.7682992,6.720,31.829,-,PASS,2021.05.12 20:45:57,SST Denali#1(TEST HEAD 3),'5210325006298,71064,2021.05.12 20:37:30,2021.05.12 20:45:57,'00:08:27,'OK,E0022500E3FBC589,4112109,'0000000007,3.671,OK,OK,OK,3,112,25.15,68.85,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B005P4,Denali_v0100000002.mot 2F1607E1,4.866,52.074,'BG96MAR02A07M1G,'860640052471424,'89460800231121176666,27.70,32.7689078,6.806,28.620,-,PASS,2021.05.13 00:59:09,SST Denali#1(TEST HEAD 2),'5210325006246,71064,2021.05.13 00:51:26,2021.05.13 00:59:09,'00:07:43,'OK,E0022500E4158D63,4117063,'0000000007,3.666,OK,OK,OK,3,121,25.60,69.33,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B006D4,Denali_v0100000002.mot 2F1607E1,4.866,52.203,'BG96MAR02A07M1G,'860640052410570,'89460800231121181674,20.28,32.7686645,6.847,28.516,-,PASS,2021.05.12 23:44:40,SST Denali#1(TEST HEAD 2),'5210325006137,71064,2021.05.12 23:38:03,2021.05.12 23:44:40,'00:06:37,'OK,E0022500E415514C,4118669,'0000000007,3.675,OK,OK,OK,2,122,25.28,71.61,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B004N4,Denali_v0100000002.mot 2F1607E1,4.866,53.098,'BG96MAR02A07M1G,'860640052328939,'89460800231121177961,22.15,32.7687258,7.007,31.829,-,PASS,2021.05.13 01:18:06,SST Denali#1(TEST HEAD 2),'5210325006546,71064,2021.05.13 01:10:53,2021.05.13 01:18:06,'00:07:13,'OK,E0022500E3FB35A7,4114762,'0000000007,3.678,OK,OK,OK,2,118,25.79,67.73,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B005H4,Denali_v0100000002.mot 2F1607E1,4.852,52.415,'BG96MAR02A07M1G,'860640052396977,'89460800231121180320,10.96,32.7683590,6.754,22.461,-,PASS,2021.05.13 00:59:05,SST Denali#1(TEST HEAD 1),'5210325006513,71064,2021.05.13 00:51:26,2021.05.13 00:59:05,'00:07:39,'OK,E0022500E406024D,4114525,'0000000007,3.668,OK,OK,OK,2,132,25.27,69.72,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B005D4,Denali_v0100000002.mot 2F1607E1,4.866,52.946,'BG96MAR02A07M1G,'860640052392802,'89460800231121179751,29.25,32.7689586,6.830,25.515,-,PASS,2021.05.13 01:07:21,SST Denali#1(TEST HEAD 2),'5210325006533,71064,2021.05.13 00:59:52,2021.05.13 01:07:21,'00:07:29,'OK,E0022500E3FC4032,4117518,'0000000007,3.683,OK,OK,OK,2,120,25.69,67.09,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
JEG9B00614,Denali_v0100000002.mot 2F1607E1,4.852,52.648,'BG96MAR02A07M1G,'860640052460013,'89460800231121184306,17.23,32.7685647,6.841,26.550,-,PASS,2021.05.12 23:49:13,SST Denali#1(TEST HEAD 4),'5210325006426,71064,2021.05.12 23:43:50,2021.05.12 23:49:13,'00:05:23,'OK,E0022500E41F6995,4118012,'0000000007,3.669,OK,OK,OK,2,181,25.27,69.26,OK,LED1 Red ON,LED1 Green ON,LED1 Blue ON,LED2 Red ON,LED2 Green ON,LED2 Blue ON,'0100000002,
